wache_nummer,anzahl_alarmierungen_RTW,mittlere_ausrueckedauer_RTW,anzahl_alarmierungen_NEF,mittlere_ausrueckedauer_NEF,anzahl_alarmierungen_LHF,mittlere_ausrueckedauer_LHF,anzahl_alarmierungen_DLK,mittlere_ausrueckedauer_DLK,anzahl_alarmierungen_ELW,mittlere_ausrueckedauer_ELW,wache_name,start_date,end_date
1100,2651,79,956.0,85.0,538.0,85.0,,,42.0,182.0,Feuer- und Lehrrettungswache Mitte,2024-07-01,2024-09-30
1110,650,62,,,,,,,,,Mitte,2024-07-01,2024-09-30
1310,585,117,,,,,,,,,Schieritz/Prenzlauer Berg,2024-07-01,2024-09-30
1300,1990,92,,,578.0,99.0,189.0,129.0,,,Prenzlauer Berg,2024-07-01,2024-09-30
1200,2200,69,933.0,76.0,472.0,93.0,140.0,84.0,524.0,55.0,Friedrichshain,2024-07-01,2024-09-30
1400,870,64,7.0,75.0,430.0,90.0,183.0,135.0,,,Moabit,2024-07-01,2024-09-30
2320,380,102,,,,,,,,,Frohnau,2024-07-01,2024-09-30
2100,1786,63,935.0,70.0,374.0,76.0,82.0,77.0,,,Schillerpark,2024-07-01,2024-09-30
1500,2727,72,844.0,78.0,545.0,94.0,,,121.0,86.0,Urban,2024-07-01,2024-09-30
2500,2478,73,,,850.0,82.0,,,,,Wedding,2024-07-01,2024-09-30
2300,1002,69,293.0,70.0,164.0,66.0,,,,,Hermsdorf,2024-07-01,2024-09-30
1204,753,86,,,,,,,,,Am Friedrichshain,2024-07-01,2024-09-30
1600,2981,85,432.0,76.0,426.0,106.0,190.0,138.0,,,Kreuzberg,2024-07-01,2024-09-30
1700,1331,92,,,447.0,131.0,99.0,134.0,,,Tiergarten,2024-07-01,2024-09-30
2420,387,125,,,,,,,,,Tegelort,2024-07-01,2024-09-30
2630,578,73,,,,,,,,,Blankenfelde,2024-07-01,2024-09-30
2604,381,75,,,,,,,,,Pankow Mitte,2024-07-01,2024-09-30
2640,653,98,,,,,,,,,Wilhelmsruh,2024-07-01,2024-09-30
3100,1350,70,657.0,76.0,459.0,85.0,80.0,102.0,179.0,115.0,Spandau-Nord,2024-07-01,2024-09-30
3103,320,76,,,,,,,,,Lynar,2024-07-01,2024-09-30
3110,690,91,,,,,,,,,Staaken,2024-07-01,2024-09-30
3104,479,123,,,,,,,,,Falkenhagener Feld,2024-07-01,2024-09-30
