wache_nummer,anzahl_alarmierungen_RTW,mittlere_ausrueckedauer_RTW,anzahl_alarmierungen_NEF,mittlere_ausrueckedauer_NEF,anzahl_alarmierungen_LHF,mittlere_ausrueckedauer_LHF,anzahl_alarmierungen_DLK,mittlere_ausrueckedauer_DLK,anzahl_alarmierungen_ELW,mittlere_ausrueckedauer_ELW,wache_name,start_date,end_date
1100,2291,86,1015.0,91.0,462.0,105.0,,,68.0,116.0,Feuer- und Lehrrettungswache Mitte,2023-01-01,2023-03-31
1110,638,65,,,,,,,,,Mitte,2023-01-01,2023-03-31
1700,1344,79,,,389.0,119.0,120.0,119.0,,,Tiergarten,2023-01-01,2023-03-31
1310,731,118,,,,,,,,,Schieritz/Prenzlauer Berg,2023-01-01,2023-03-31
1200,2091,70,953.0,84.0,413.0,89.0,115.0,87.0,472.0,60.0,Friedrichshain,2023-01-01,2023-03-31
1400,800,68,,,318.0,94.0,145.0,119.0,,,Moabit,2023-01-01,2023-03-31
1300,1896,98,,,518.0,112.0,215.0,136.0,,,Prenzlauer Berg,2023-01-01,2023-03-31
2202,108,76,,,,,,,,,Schönholz,2023-01-01,2023-03-31
2320,420,106,,,,,,,,,Frohnau,2023-01-01,2023-03-31
2100,1470,66,1035.0,72.0,376.0,89.0,61.0,69.0,,,Schillerpark,2023-01-01,2023-03-31
1500,2645,74,937.0,71.0,520.0,88.0,,,123.0,93.0,Urban,2023-01-01,2023-03-31
2300,956,69,335.0,69.0,161.0,83.0,,,,,Hermsdorf,2023-01-01,2023-03-31
1204,510,89,,,,,,,,,Am Friedrichshain,2023-01-01,2023-03-31
2500,2308,72,,,760.0,76.0,,,,,Wedding,2023-01-01,2023-03-31
1600,2636,87,473.0,75.0,359.0,112.0,156.0,133.0,,,Kreuzberg,2023-01-01,2023-03-31
1704,86,91,,,,,,,,,Scharnhorststraße,2023-01-01,2023-03-31
2420,263,88,,,,,,,,,Tegelort,2023-01-01,2023-03-31
2630,575,78,,,,,,,,,Blankenfelde,2023-01-01,2023-03-31
2604,508,71,,,,,,,,,Pankow Mitte,2023-01-01,2023-03-31
2640,776,112,,,,,,,,,Wilhelmsruh,2023-01-01,2023-03-31
3100,1265,71,740.0,77.0,451.0,83.0,52.0,93.0,124.0,90.0,Spandau-Nord,2023-01-01,2023-03-31
3103,402,90,,,,,,,,,Lynar,2023-01-01,2023-03-31
3110,702,89,,,,,,,,,Staaken,2023-01-01,2023-03-31
3104,531,80,,,,,,,,,Falkenhagener Feld,2023-01-01,2023-03-31
2400,989,70,843.0,61.0,239.0,98.0,55.0,102.0,,,Tegel,2023-01-01,2023-03-31
2600,1294,100,731.0,78.0,271.0,106.0,38.0,135.0,182.0,96.0,Pankow,2023-01-01,2023-03-31
3200,1674,81,687.0,95.0,417.0,95.0,62.0,105.0,,,Spandau-Süd,2023-01-01,2023-03-31
3304,777,122,,,,,,,,,Westend,2023-01-01,2023-03-31
2720,397,83,,,,,,,,,Karow,2023-01-01,2023-03-31
2200,1921,72,,,374.0,115.0,60.0,139.0,242.0,111.0,Wittenau,2023-01-01,2023-03-31
3220,344,92,,,,,,,,,Kladow,2023-01-01,2023-03-31
2704,442,92,,,,,,,,,Buch,2023-01-01,2023-03-31
3500,1498,83,,,387.0,109.0,143.0,135.0,9.0,100.0,Ranke,2023-01-01,2023-03-31
