wache_nummer,anzahl_alarmierungen_RTW,mittlere_ausrueckedauer_RTW,anzahl_alarmierungen_NEF,mittlere_ausrueckedauer_NEF,anzahl_alarmierungen_LHF,mittlere_ausrueckedauer_LHF,anzahl_alarmierungen_DLK,mittlere_ausrueckedauer_DLK,anzahl_alarmierungen_ELW,mittlere_ausrueckedauer_ELW,wache_name,start_date,end_date
1100,2535,81,470.0,86.0,449.0,117.0,,,34.0,123.0,Feuer- und Lehrrettungswache Mitte,2018-10-01,2018-12-31
1110,196,95,,,,,,,,,Mitte,2018-10-01,2018-12-31
1310,253,106,,,,,,,,,Schieritz/Prenzlauer Berg,2018-10-01,2018-12-31
1200,2165,73,1126.0,75.0,501.0,78.0,108.0,92.0,448.0,59.0,Friedrichshain,2018-10-01,2018-12-31
1300,1937,112,,,594.0,124.0,232.0,153.0,,,Prenzlauer Berg,2018-10-01,2018-12-31
1400,736,87,,,437.0,128.0,119.0,153.0,,,Moabit,2018-10-01,2018-12-31
2320,327,96,,,,,,,,,Frohnau,2018-10-01,2018-12-31
2100,1434,83,1082.0,83.0,474.0,119.0,47.0,119.0,,,Schillerpark,2018-10-01,2018-12-31
1500,1815,84,1051.0,95.0,494.0,99.0,,,101.0,108.0,Urban,2018-10-01,2018-12-31
2500,2042,89,,,600.0,78.0,,,,,Wedding,2018-10-01,2018-12-31
2300,677,84,,,206.0,88.0,,,,,Hermsdorf,2018-10-01,2018-12-31
1204,389,89,,,,,,,,,Am Friedrichshain,2018-10-01,2018-12-31
1700,1039,96,,,400.0,130.0,107.0,146.0,,,Tiergarten,2018-10-01,2018-12-31
1704,9,178,,,,,,,,,Scharnhorststraße,2018-10-01,2018-12-31
2420,221,80,,,,,,,,,Tegelort,2018-10-01,2018-12-31
1600,2524,95,8.0,75.0,504.0,112.0,163.0,130.0,13.0,81.0,Kreuzberg,2018-10-01,2018-12-31
2630,446,88,,,,,,,,,Blankenfelde,2018-10-01,2018-12-31
3100,1888,81,785.0,75.0,460.0,90.0,70.0,135.0,139.0,111.0,Spandau-Nord,2018-10-01,2018-12-31
2604,756,98,,,,,,,,,Pankow Mitte,2018-10-01,2018-12-31
3110,612,85,,,,,,,,,Staaken,2018-10-01,2018-12-31
2600,824,109,780.0,85.0,301.0,125.0,46.0,148.0,220.0,90.0,Pankow,2018-10-01,2018-12-31
2400,1284,83,883.0,91.0,275.0,124.0,69.0,157.0,,,Tegel,2018-10-01,2018-12-31
2640,156,133,,,,,,,,,Wilhelmsruh,2018-10-01,2018-12-31
3304,540,123,,,,,,,,,Westend,2018-10-01,2018-12-31
3200,1849,83,712.0,101.0,383.0,106.0,70.0,147.0,,,Spandau-Süd,2018-10-01,2018-12-31
2720,423,89,,,,,,,,,Karow,2018-10-01,2018-12-31
2200,1911,97,,,345.0,134.0,64.0,161.0,229.0,106.0,Wittenau,2018-10-01,2018-12-31
2704,381,76,,,,,,,,,Buch,2018-10-01,2018-12-31
3500,1761,85,,,448.0,111.0,89.0,143.0,,,Ranke,2018-10-01,2018-12-31
3220,284,82,,,,,,,,,Kladow,2018-10-01,2018-12-31
3490,563,84,,,,,,,,,Friedenau,2018-10-01,2018-12-31
3104,440,73,,,,,,,,,Falkenhagener Feld,2018-10-01,2018-12-31
3600,1182,87,959.0,93.0,394.0,85.0,84.0,113.0,76.0,135.0,Charlottenburg-Nord,2018-10-01,2018-12-31
3404,443,123,,,,,,,,,Schmargendorf,2018-10-01,2018-12-31
4100,1064,95,722.0,100.0,339.0,116.0,54.0,160.0,106.0,89.0,Zehlendorf,2018-10-01,2018-12-31
3390,449,96,,,,,,,,,Lietzow,2018-10-01,2018-12-31
3400,1666,73,,,507.0,84.0,,,,,Wilmersdorf,2018-10-01,2018-12-31
4500,542,75,,,130.0,121.0,,,,,Wannsee,2018-10-01,2018-12-31
4300,1215,64,967.0,98.0,446.0,111.0,81.0,156.0,421.0,97.0,Tempelhof,2018-10-01,2018-12-31
4400,1824,83,1059.0,83.0,353.0,89.0,144.0,114.0,,,Schöneberg,2018-10-01,2018-12-31
4700,990,107,911.0,96.0,373.0,120.0,30.0,162.0,,,Marienfelde,2018-10-01,2018-12-31
4600,1305,92,,,329.0,101.0,37.0,126.0,,,Lichterfelde,2018-10-01,2018-12-31
3690,568,77,,,,,,,,,Siemensstadt/Charlottenburg Nord,2018-10-01,2018-12-31
4604,580,85,,,,,,,,,Lankwitz,2018-10-01,2018-12-31
4710,764,99,,,,,,,,,Lichtenrade,2018-10-01,2018-12-31
3300,1958,77,1075.0,71.0,553.0,116.0,75.0,151.0,413.0,92.0,Suarez,2018-10-01,2018-12-31
3504,522,77,,,,,,,,,Tiergarten-Süd,2018-10-01,2018-12-31
4790,610,89,,,,,,,,,Marienfelde-Süd,2018-10-01,2018-12-31
5200,1802,82,904.0,66.0,463.0,105.0,35.0,119.0,,,Buckow,2018-10-01,2018-12-31
4200,1705,92,,,378.0,89.0,70.0,119.0,,,Steglitz,2018-10-01,2018-12-31
5304,453,102,,,,,,,,,Bohnsdorf,2018-10-01,2018-12-31
5100,2548,91,956.0,80.0,520.0,103.0,190.0,136.0,,,Neukölln,2018-10-01,2018-12-31
6110,353,102,,,,,,,,,Marzahn,2018-10-01,2018-12-31
4390,1142,79,,,,,,,,,Mariendorf,2018-10-01,2018-12-31
5210,618,96,,,,,,,,,Rudow,2018-10-01,2018-12-31
6120,439,128,,,,,,,,,Biesdorf,2018-10-01,2018-12-31
6204,416,107,,,,,,,,,Kaulsdorf,2018-10-01,2018-12-31
