wache_nummer,anzahl_alarmierungen_RTW,mittlere_ausrueckedauer_RTW,anzahl_alarmierungen_NEF,mittlere_ausrueckedauer_NEF,anzahl_alarmierungen_LHF,mittlere_ausrueckedauer_LHF,anzahl_alarmierungen_DLK,mittlere_ausrueckedauer_DLK,anzahl_alarmierungen_ELW,mittlere_ausrueckedauer_ELW,wache_name,start_date,end_date
1100,2541,88,1093.0,90.0,586.0,94.0,,,34.0,140.0,Feuer- und Lehrrettungswache Mitte,2022-04-01,2022-06-30
1310,544,111,,,,,,,,,Schieritz/Prenzlauer Berg,2022-04-01,2022-06-30
1300,1893,96,,,654.0,104.0,215.0,138.0,,,Prenzlauer Berg,2022-04-01,2022-06-30
1200,2282,61,1055.0,59.0,586.0,82.0,140.0,82.0,507.0,62.0,Friedrichshain,2022-04-01,2022-06-30
1400,753,61,,,459.0,86.0,132.0,122.0,,,Moabit,2022-04-01,2022-06-30
2320,543,102,,,,,,,,,Frohnau,2022-04-01,2022-06-30
2100,1409,65,1154.0,69.0,417.0,94.0,105.0,64.0,,,Schillerpark,2022-04-01,2022-06-30
1700,1371,70,,,491.0,109.0,131.0,121.0,,,Tiergarten,2022-04-01,2022-06-30
1500,2606,70,1046.0,70.0,612.0,96.0,,,130.0,99.0,Urban,2022-04-01,2022-06-30
2500,1688,66,,,822.0,78.0,,,,,Wedding,2022-04-01,2022-06-30
2300,692,68,369.0,73.0,255.0,85.0,,,,,Hermsdorf,2022-04-01,2022-06-30
1204,566,91,,,,,,,,,Am Friedrichshain,2022-04-01,2022-06-30
1600,2347,83,488.0,69.0,487.0,109.0,187.0,145.0,,,Kreuzberg,2022-04-01,2022-06-30
1704,767,98,,,,,,,,,Scharnhorststraße,2022-04-01,2022-06-30
2420,374,92,,,,,,,,,Tegelort,2022-04-01,2022-06-30
2630,643,82,,,,,,,,,Blankenfelde,2022-04-01,2022-06-30
2604,551,88,,,,,,,,,Pankow Mitte,2022-04-01,2022-06-30
2640,718,127,,,,,,,,,Wilhelmsruh,2022-04-01,2022-06-30
3100,1243,74,793.0,71.0,609.0,83.0,99.0,106.0,177.0,97.0,Spandau-Nord,2022-04-01,2022-06-30
3103,330,97,,,,,,,,,Lynar,2022-04-01,2022-06-30
3110,641,95,,,,,,,,,Staaken,2022-04-01,2022-06-30
3104,614,74,,,,,,,,,Falkenhagener Feld,2022-04-01,2022-06-30
2600,1086,91,777.0,72.0,312.0,99.0,52.0,142.0,182.0,83.0,Pankow,2022-04-01,2022-06-30
2400,899,69,874.0,68.0,399.0,103.0,64.0,103.0,,,Tegel,2022-04-01,2022-06-30
3304,747,118,,,,,,,,,Westend,2022-04-01,2022-06-30
3200,1711,75,718.0,87.0,491.0,94.0,75.0,132.0,,,Spandau-Süd,2022-04-01,2022-06-30
2720,588,92,,,,,,,,,Karow,2022-04-01,2022-06-30
3220,438,90,,,,,,,,,Kladow,2022-04-01,2022-06-30
2200,2157,80,,,510.0,118.0,83.0,135.0,341.0,110.0,Wittenau,2022-04-01,2022-06-30
2704,570,84,,,,,,,,,Buch,2022-04-01,2022-06-30
3500,5,172,,,,,,,,,Ranke,2022-04-01,2022-06-30
3503,713,107,,,,,,,,,Budapester,2022-04-01,2022-06-30
3490,679,85,,,,,,,,,Friedenau,2022-04-01,2022-06-30
