wache_nummer,anzahl_alarmierungen_RTW,mittlere_ausrueckedauer_RTW,anzahl_alarmierungen_NEF,mittlere_ausrueckedauer_NEF,anzahl_alarmierungen_LHF,mittlere_ausrueckedauer_LHF,anzahl_alarmierungen_DLK,mittlere_ausrueckedauer_DLK,anzahl_alarmierungen_ELW,mittlere_ausrueckedauer_ELW,wache_name,start_date,end_date
1100,2091,95,908.0,83.0,372.0,103.0,,,76.0,187.0,Feuer- und Lehrrettungswache Mitte,2021-01-01,2021-03-31
1310,397,107,,,,,,,,,Schieritz/Prenzlauer Berg,2021-01-01,2021-03-31
1300,1661,90,,,427.0,112.0,168.0,133.0,,,Prenzlauer Berg,2021-01-01,2021-03-31
1400,665,72,,,319.0,98.0,103.0,125.0,5.0,61.0,Moabit,2021-01-01,2021-03-31
1700,1163,57,,,287.0,91.0,125.0,115.0,,,Tiergarten,2021-01-01,2021-03-31
2320,334,113,,,,,,,,,Frohnau,2021-01-01,2021-03-31
2100,1427,70,871.0,70.0,378.0,107.0,113.0,104.0,,,Schillerpark,2021-01-01,2021-03-31
1200,1758,63,697.0,69.0,363.0,87.0,108.0,91.0,404.0,61.0,Friedrichshain,2021-01-01,2021-03-31
1500,1934,74,732.0,85.0,402.0,97.0,,,105.0,84.0,Urban,2021-01-01,2021-03-31
2500,1807,69,,,381.0,58.0,,,,,Wedding,2021-01-01,2021-03-31
2300,588,74,288.0,62.0,154.0,101.0,,,,,Hermsdorf,2021-01-01,2021-03-31
1204,554,91,,,,,,,,,Am Friedrichshain,2021-01-01,2021-03-31
2420,167,90,,,,,,,,,Tegelort,2021-01-01,2021-03-31
1704,712,98,,,,,,,,,Scharnhorststraße,2021-01-01,2021-03-31
2630,385,92,,,,,,,,,Blankenfelde,2021-01-01,2021-03-31
1600,2071,82,348.0,62.0,342.0,98.0,156.0,130.0,6.0,69.0,Kreuzberg,2021-01-01,2021-03-31
3100,1041,65,614.0,74.0,457.0,83.0,102.0,120.0,173.0,97.0,Spandau-Nord,2021-01-01,2021-03-31
2604,578,104,,,,,,,,,Pankow Mitte,2021-01-01,2021-03-31
