wache_nummer,anzahl_alarmierungen_RTW,mittlere_ausrueckedauer_RTW,anzahl_alarmierungen_NEF,mittlere_ausrueckedauer_NEF,anzahl_alarmierungen_LHF,mittlere_ausrueckedauer_LHF,anzahl_alarmierungen_DLK,mittlere_ausrueckedauer_DLK,anzahl_alarmierungen_ELW,mittlere_ausrueckedauer_ELW,wache_name,start_date,end_date
1100,3685,87,350.0,90.0,384.0,124.0,,,50.0,95.0,Feuer- und Lehrrettungswache Mitte,2018-01-01,2018-03-31
1110,359,114,,,,,,,,,Mitte,2018-01-01,2018-03-31
1700,1030,75,,,326.0,132.0,176.0,133.0,,,Tiergarten,2018-01-01,2018-03-31
1310,637,106,,,,,,,,,Schieritz/Prenzlauer Berg,2018-01-01,2018-03-31
1200,2094,70,1089.0,73.0,453.0,83.0,176.0,93.0,465.0,57.0,Friedrichshain,2018-01-01,2018-03-31
1300,2084,98,,,802.0,127.0,213.0,150.0,,,Prenzlauer Berg,2018-01-01,2018-03-31
1400,681,83,,,304.0,121.0,86.0,128.0,,,Moabit,2018-01-01,2018-03-31
2320,447,95,,,,,,,,,Frohnau,2018-01-01,2018-03-31
2100,1612,81,1085.0,84.0,476.0,126.0,138.0,119.0,,,Schillerpark,2018-01-01,2018-03-31
1500,2058,86,992.0,91.0,596.0,89.0,,,91.0,105.0,Urban,2018-01-01,2018-03-31
2500,1976,82,,,625.0,77.0,,,,,Wedding,2018-01-01,2018-03-31
2300,696,83,,,188.0,87.0,,,,,Hermsdorf,2018-01-01,2018-03-31
1600,2430,87,,,449.0,95.0,199.0,103.0,,,Kreuzberg,2018-01-01,2018-03-31
2420,303,72,,,,,,,,,Tegelort,2018-01-01,2018-03-31
2630,539,92,,,,,,,,,Blankenfelde,2018-01-01,2018-03-31
2640,743,119,,,,,,,,,Wilhelmsruh,2018-01-01,2018-03-31
3100,1991,85,803.0,82.0,422.0,88.0,76.0,124.0,130.0,114.0,Spandau-Nord,2018-01-01,2018-03-31
2604,822,107,,,,,,,,,Pankow Mitte,2018-01-01,2018-03-31
3110,724,84,,,,,,,,,Staaken,2018-01-01,2018-03-31
3104,661,65,,,,,,,,,Falkenhagener Feld,2018-01-01,2018-03-31
2600,940,96,856.0,78.0,263.0,106.0,38.0,126.0,208.0,78.0,Pankow,2018-01-01,2018-03-31
3304,552,119,,,,,,,,,Westend,2018-01-01,2018-03-31
