wache_nummer,anzahl_alarmierungen_RTW,mittlere_ausrueckedauer_RTW,anzahl_alarmierungen_NEF,mittlere_ausrueckedauer_NEF,anzahl_alarmierungen_LHF,mittlere_ausrueckedauer_LHF,anzahl_alarmierungen_DLK,mittlere_ausrueckedauer_DLK,anzahl_alarmierungen_ELW,mittlere_ausrueckedauer_ELW,wache_name,start_date,end_date
1100,1494,89,806.0,97.0,506.0,90.0,,,25.0,144.0,Feuer- und Lehrrettungswache Mitte,2025-07-01,2025-09-30
1110,435,68,,,,,,,,,Mitte,2025-07-01,2025-09-30
1200,1147,70,787.0,71.0,487.0,82.0,142.0,92.0,461.0,57.0,Friedrichshain,2025-07-01,2025-09-30
1204,455,80,,,,,,,,,Am Friedrichshain,2025-07-01,2025-09-30
1300,1025,94,,,519.0,113.0,214.0,133.0,,,Prenzlauer Berg,2025-07-01,2025-09-30
1310,483,117,,,,,,,,,Schieritz/Prenzlauer Berg,2025-07-01,2025-09-30
1400,584,68,,,374.0,72.0,136.0,89.0,,,Moabit,2025-07-01,2025-09-30
1500,1522,71,650.0,66.0,461.0,80.0,,,77.0,90.0,Urban,2025-07-01,2025-09-30
1600,1504,66,364.0,76.0,434.0,88.0,134.0,119.0,,,Kreuzberg,2025-07-01,2025-09-30
1700,1001,60,,,406.0,62.0,148.0,79.0,,,Tiergarten,2025-07-01,2025-09-30
1704,7,79,,,,,,,,,Scharnhorststraße,2025-07-01,2025-09-30
2100,1061,73,877.0,70.0,292.0,92.0,80.0,90.0,,,Schillerpark,2025-07-01,2025-09-30
2200,1070,67,,,388.0,113.0,79.0,128.0,225.0,110.0,Wittenau,2025-07-01,2025-09-30
2300,754,87,264.0,91.0,170.0,93.0,,,,,Hermsdorf,2025-07-01,2025-09-30
2320,171,91,,,,,,,,,Frohnau,2025-07-01,2025-09-30
2400,805,72,680.0,67.0,302.0,82.0,64.0,124.0,6.0,200.0,Tegel,2025-07-01,2025-09-30
2420,207,128,,,,,,,,,Tegelort,2025-07-01,2025-09-30
2500,1250,71,,,700.0,70.0,,,,,Wedding,2025-07-01,2025-09-30
2600,846,97,634.0,77.0,248.0,114.0,32.0,131.0,202.0,102.0,Pankow,2025-07-01,2025-09-30
