wache_nummer,anzahl_alarmierungen_RTW,mittlere_ausrueckedauer_RTW,anzahl_alarmierungen_NEF,mittlere_ausrueckedauer_NEF,anzahl_alarmierungen_LHF,mittlere_ausrueckedauer_LHF,anzahl_alarmierungen_DLK,mittlere_ausrueckedauer_DLK,anzahl_alarmierungen_ELW,mittlere_ausrueckedauer_ELW,wache_name,start_date,end_date
1100,2476,97,960.0,88.0,469.0,104.0,,,35.0,179.0,Feuer- und Lehrrettungswache Mitte,2022-01-01,2022-03-31
1700,1465,74,12.0,77.0,388.0,105.0,140.0,126.0,,,Tiergarten,2022-01-01,2022-03-31
1310,582,121,,,,,,,,,Schieritz/Prenzlauer Berg,2022-01-01,2022-03-31
1200,2154,65,957.0,71.0,437.0,88.0,133.0,83.0,436.0,61.0,Friedrichshain,2022-01-01,2022-03-31
1300,1741,91,,,573.0,110.0,166.0,142.0,,,Prenzlauer Berg,2022-01-01,2022-03-31
1400,728,66,,,380.0,91.0,140.0,117.0,9.0,72.0,Moabit,2022-01-01,2022-03-31
2320,459,111,,,,,,,,,Frohnau,2022-01-01,2022-03-31
2100,1304,66,1037.0,71.0,386.0,88.0,72.0,92.0,,,Schillerpark,2022-01-01,2022-03-31
1500,2544,70,877.0,68.0,492.0,88.0,,,116.0,99.0,Urban,2022-01-01,2022-03-31
2500,1699,64,,,697.0,77.0,,,,,Wedding,2022-01-01,2022-03-31
2300,614,72,383.0,67.0,215.0,94.0,,,,,Hermsdorf,2022-01-01,2022-03-31
1600,2157,81,425.0,73.0,412.0,116.0,124.0,137.0,,,Kreuzberg,2022-01-01,2022-03-31
1704,706,110,,,,,,,,,Scharnhorststraße,2022-01-01,2022-03-31
1204,755,92,,,,,,,,,Am Friedrichshain,2022-01-01,2022-03-31
2420,304,95,,,,,,,,,Tegelort,2022-01-01,2022-03-31
2604,543,89,,,,,,,,,Pankow Mitte,2022-01-01,2022-03-31
2640,711,127,,,,,,,,,Wilhelmsruh,2022-01-01,2022-03-31
2630,547,82,,,,,,,,,Blankenfelde,2022-01-01,2022-03-31
3103,348,103,,,,,,,,,Lynar,2022-01-01,2022-03-31
3100,1127,81,757.0,73.0,575.0,85.0,93.0,106.0,183.0,101.0,Spandau-Nord,2022-01-01,2022-03-31
3110,691,98,,,,,,,,,Staaken,2022-01-01,2022-03-31
3104,596,71,,,,,,,,,Falkenhagener Feld,2022-01-01,2022-03-31
2600,1039,92,788.0,73.0,301.0,113.0,58.0,144.0,205.0,78.0,Pankow,2022-01-01,2022-03-31
2400,1049,72,850.0,70.0,350.0,103.0,85.0,117.0,,,Tegel,2022-01-01,2022-03-31
3304,720,120,,,,,,,,,Westend,2022-01-01,2022-03-31
3200,1650,80,718.0,96.0,508.0,91.0,73.0,121.0,,,Spandau-Süd,2022-01-01,2022-03-31
2720,486,90,,,,,,,,,Karow,2022-01-01,2022-03-31
2704,522,89,,,,,,,,,Buch,2022-01-01,2022-03-31
3220,393,97,,,,,,,,,Kladow,2022-01-01,2022-03-31
2200,2271,86,,,420.0,116.0,81.0,153.0,289.0,104.0,Wittenau,2022-01-01,2022-03-31
3490,705,86,,,,,,,,,Friedenau,2022-01-01,2022-03-31
3503,764,109,,,,,,,,,Budapester,2022-01-01,2022-03-31
3600,1165,68,906.0,76.0,332.0,73.0,73.0,84.0,90.0,105.0,Charlottenburg-Nord,2022-01-01,2022-03-31
3404,570,107,,,,,,,,,Schmargendorf,2022-01-01,2022-03-31
4100,1163,83,742.0,93.0,306.0,108.0,51.0,117.0,147.0,83.0,Zehlendorf,2022-01-01,2022-03-31
3390,592,98,,,,,,,,,Lietzow,2022-01-01,2022-03-31
3400,1453,76,,,894.0,111.0,50.0,107.0,,,Wilmersdorf,2022-01-01,2022-03-31
4500,723,73,,,148.0,108.0,,,,,Wannsee,2022-01-01,2022-03-31
4300,1251,60,867.0,83.0,392.0,90.0,101.0,137.0,439.0,86.0,Tempelhof,2022-01-01,2022-03-31
4400,1825,77,1041.0,79.0,445.0,89.0,120.0,115.0,,,Schöneberg,2022-01-01,2022-03-31
4600,1346,66,,,336.0,88.0,59.0,92.0,,,Lichterfelde,2022-01-01,2022-03-31
4700,957,79,834.0,80.0,369.0,100.0,55.0,124.0,,,Marienfelde,2022-01-01,2022-03-31
3690,596,53,,,,,,,,,Siemensstadt/Charlottenburg Nord,2022-01-01,2022-03-31
4604,794,97,,,,,,,,,Lankwitz,2022-01-01,2022-03-31
3300,1765,83,1015.0,53.0,802.0,81.0,113.0,97.0,416.0,89.0,Suarez,2022-01-01,2022-03-31
5210,669,91,,,,,,,,,Rudow,2022-01-01,2022-03-31
4710,950,79,,,,,,,,,Lichtenrade,2022-01-01,2022-03-31
3504,737,79,,,,,,,,,Tiergarten-Süd,2022-01-01,2022-03-31
5100,2153,81,947.0,66.0,589.0,97.0,172.0,113.0,5.0,150.0,Neukölln,2022-01-01,2022-03-31
4790,467,95,,,,,,,,,Marienfelde-Süd,2022-01-01,2022-03-31
5200,1866,72,862.0,63.0,441.0,85.0,41.0,131.0,,,Buckow,2022-01-01,2022-03-31
4200,1687,88,,,411.0,75.0,90.0,99.0,,,Steglitz,2022-01-01,2022-03-31
5404,636,116,,,,,,,,,Salvador-Allende,2022-01-01,2022-03-31
5304,599,104,,,,,,,,,Bohnsdorf,2022-01-01,2022-03-31
5390,360,67,,,,,,,,,Adlershof,2022-01-01,2022-03-31
4390,1369,88,223.0,77.0,,,,,,,Mariendorf,2022-01-01,2022-03-31
6110,294,110,,,,,,,,,Marzahn,2022-01-01,2022-03-31
6120,272,123,,,,,,,,,Biesdorf,2022-01-01,2022-03-31
5300,1503,83,802.0,76.0,431.0,83.0,111.0,84.0,210.0,87.0,Treptow,2022-01-01,2022-03-31
6204,547,94,,,,,,,,,Kaulsdorf,2022-01-01,2022-03-31
6310,1095,107,,,,,,,,,Hohenschönhausen,2022-01-01,2022-03-31
5400,1439,71,799.0,81.0,369.0,82.0,58.0,103.0,,,Köpenick,2022-01-01,2022-03-31
6320,593,118,754.0,120.0,,,,,,,Falkenberg,2022-01-01,2022-03-31
6200,2050,88,785.0,94.0,392.0,123.0,48.0,141.0,,,Hellersdorf,2022-01-01,2022-03-31
5490,192,79,,,,,,,,,Rahnsdorf,2022-01-01,2022-03-31
6407,6,78,,,,,,,,,Sana Klinikum Lichtenberg,2022-01-01,2022-03-31
6500,1174,96,,,262.0,101.0,,,,,Karlshorst,2022-01-01,2022-03-31
