wache_nummer,anzahl_alarmierungen_RTW,mittlere_ausrueckedauer_RTW,anzahl_alarmierungen_NEF,mittlere_ausrueckedauer_NEF,anzahl_alarmierungen_LHF,mittlere_ausrueckedauer_LHF,anzahl_alarmierungen_DLK,mittlere_ausrueckedauer_DLK,anzahl_alarmierungen_ELW,mittlere_ausrueckedauer_ELW,wache_name,start_date,end_date
1100,534,56,380.0,63.0,241.0,70.0,,,,,Mitte,2026-07-01,2026-09-30
1200,712,80,386.0,69.0,234.0,90.0,77.0,88.0,248.0,60.0,Friedrichshain,2026-07-01,2026-09-30
1204,261,62,,,,,,,,,Am Friedrichshain,2026-07-01,2026-09-30
1300,474,85,,,240.0,74.0,113.0,102.0,,,Prenzlauer Berg,2026-07-01,2026-09-30
1310,162,115,,,,,,,,,Schieritz/Prenzlauer Berg,2026-07-01,2026-09-30
1400,278,78,,,202.0,57.0,72.0,92.0,,,Moabit,2026-07-01,2026-09-30
1500,709,61,351.0,61.0,223.0,55.0,5.0,71.0,30.0,102.0,Urban,2026-07-01,2026-09-30
1600,567,70,170.0,67.0,188.0,62.0,79.0,97.0,,,Kreuzberg,2026-07-01,2026-09-30
1700,291,73,,,194.0,72.0,39.0,114.0,,,Tiergarten,2026-07-01,2026-09-30
2100,410,73,342.0,63.0,150.0,64.0,37.0,84.0,,,Schillerpark,2026-07-01,2026-09-30
2200,500,72,348.0,82.0,169.0,82.0,27.0,106.0,113.0,103.0,Wittenau,2026-07-01,2026-09-30
2300,267,61,,,92.0,58.0,,,,,Hermsdorf,2026-07-01,2026-09-30
2320,94,79,,,,,,,,,Frohnau,2026-07-01,2026-09-30
2400,394,63,,,147.0,77.0,29.0,117.0,,,Tegel,2026-07-01,2026-09-30
2402,78,85,,,,,,,,,Konradshöhe,2026-07-01,2026-09-30
2500,574,69,,,357.0,67.0,,,,,Wedding,2026-07-01,2026-09-30
2600,382,99,269.0,75.0,133.0,94.0,10.0,137.0,91.0,105.0,Pankow,2026-07-01,2026-09-30
2604,125,63,,,,,,,,,Pankow Mitte,2026-07-01,2026-09-30
2630,151,77,,,,,,,,,Blankenfelde,2026-07-01,2026-09-30
2640,195,108,,,,,,,,,Wilhelmsruh,2026-07-01,2026-09-30
2704,120,75,,,,,,,,,Buch,2026-07-01,2026-09-30
2720,145,80,,,,,,,,,Karow,2026-07-01,2026-09-30
3100,490,73,302.0,75.0,223.0,79.0,50.0,110.0,83.0,102.0,Spandau-Nord,2026-07-01,2026-09-30
3103,94,90,,,,,,,,,Lynar,2026-07-01,2026-09-30
3104,128,72,,,,,,,,,Falkenhagener Feld,2026-07-01,2026-09-30
3110,168,91,,,,,,,,,Staaken,2026-07-01,2026-09-30
3200,446,66,126.0,72.0,209.0,70.0,28.0,104.0,,,Spandau-Süd,2026-07-01,2026-09-30
3220,93,97,,,,,,,,,Kladow,2026-07-01,2026-09-30
3300,512,75,401.0,55.0,255.0,75.0,50.0,127.0,191.0,83.0,Suarez,2026-07-01,2026-09-30
3304,153,104,,,,,,,,,Westend,2026-07-01,2026-09-30
3400,399,60,,,203.0,50.0,,,,,Wilmersdorf,2026-07-01,2026-09-30
3404,153,112,,,,,,,,,Schmargendorf,2026-07-01,2026-09-30
3490,116,83,,,,,,,,,Friedenau,2026-07-01,2026-09-30
3500,393,86,,,225.0,98.0,89.0,117.0,140.0,127.0,Ranke,2026-07-01,2026-09-30
3503,77,109,,,,,,,,,Budapester,2026-07-01,2026-09-30
3504,157,62,,,,,,,,,Tiergarten-Süd,2026-07-01,2026-09-30
3600,235,65,294.0,61.0,145.0,58.0,42.0,91.0,27.0,75.0,Charlottenburg-Nord,2026-07-01,2026-09-30
3690,13,46,,,30.0,36.0,,,,,Siemensstadt,2026-07-01,2026-09-30
4100,359,85,240.0,106.0,132.0,91.0,34.0,109.0,51.0,106.0,Zehlendorf,2026-07-01,2026-09-30
4200,368,94,,,182.0,68.0,32.0,69.0,,,Steglitz,2026-07-01,2026-09-30
4300,347,62,118.0,77.0,174.0,87.0,29.0,102.0,208.0,109.0,Tempelhof,2026-07-01,2026-09-30
4390,237,68,68.0,103.0,,,,,,,Mariendorf,2026-07-01,2026-09-30
4400,447,68,365.0,71.0,204.0,81.0,70.0,116.0,,,Schöneberg,2026-07-01,2026-09-30
4500,187,79,,,48.0,97.0,,,,,Wannsee,2026-07-01,2026-09-30
4600,362,54,,,153.0,67.0,16.0,90.0,,,Lichterfelde,2026-07-01,2026-09-30
4604,192,77,,,,,,,,,Lankwitz,2026-07-01,2026-09-30
4700,353,79,274.0,73.0,166.0,79.0,12.0,103.0,,,Marienfelde,2026-07-01,2026-09-30
4710,199,63,,,,,,,,,Lichtenrade,2026-07-01,2026-09-30
4790,131,82,,,,,,,,,Marienfelde-Süd,2026-07-01,2026-09-30
5100,744,76,349.0,69.0,247.0,82.0,78.0,96.0,,,Neukölln,2026-07-01,2026-09-30
5200,551,79,305.0,67.0,277.0,76.0,15.0,128.0,,,Buckow,2026-07-01,2026-09-30
5210,137,92,,,,,,,,,Rudow,2026-07-01,2026-09-30
5300,437,78,282.0,82.0,240.0,66.0,47.0,101.0,105.0,66.0,Treptow,2026-07-01,2026-09-30
5304,155,74,,,,,,,,,Bohnsdorf,2026-07-01,2026-09-30
5330,121,89,,,,,,,,,Altglienicke,2026-07-01,2026-09-30
5390,85,65,,,,,,,,,Adlershof,2026-07-01,2026-09-30
5400,537,81,245.0,83.0,180.0,87.0,31.0,110.0,,,Köpenick,2026-07-01,2026-09-30
5404,114,88,,,,,,,,,Salvador-Allende,2026-07-01,2026-09-30
5410,127,65,,,,,,,,,Friedrichshagen,2026-07-01,2026-09-30
5490,68,79,,,,,,,,,Rahnsdorf,2026-07-01,2026-09-30
6100,807,95,264.0,83.0,271.0,75.0,78.0,90.0,135.0,101.0,Marzahn,2026-07-01,2026-09-30
6120,49,111,,,,,,,,,Biesdorf,2026-07-01,2026-09-30
