wache_nummer,anzahl_alarmierungen_RTW,mittlere_ausrueckedauer_RTW,anzahl_alarmierungen_NEF,mittlere_ausrueckedauer_NEF,anzahl_alarmierungen_LHF,mittlere_ausrueckedauer_LHF,anzahl_alarmierungen_DLK,mittlere_ausrueckedauer_DLK,anzahl_alarmierungen_ELW,mittlere_ausrueckedauer_ELW,wache_name,start_date,end_date
1100,1269,73,752.0,79.0,493.0,79.0,,,6.0,96.0,Mitte,2026-04-01,2026-06-30
1200,1423,80,844.0,71.0,433.0,83.0,145.0,77.0,499.0,55.0,Friedrichshain,2026-04-01,2026-06-30
1204,547,59,,,,,,,,,Am Friedrichshain,2026-04-01,2026-06-30
1300,1062,83,,,511.0,70.0,177.0,108.0,,,Prenzlauer Berg,2026-04-01,2026-06-30
1310,416,113,,,,,,,,,Schieritz/Prenzlauer Berg,2026-04-01,2026-06-30
1400,574,66,,,427.0,66.0,169.0,91.0,,,Moabit,2026-04-01,2026-06-30
1500,1569,66,802.0,68.0,405.0,60.0,,,90.0,83.0,Urban,2026-04-01,2026-06-30
1600,1483,77,436.0,75.0,464.0,82.0,184.0,114.0,,,Kreuzberg,2026-04-01,2026-06-30
1700,702,68,,,388.0,76.0,127.0,101.0,,,Tiergarten,2026-04-01,2026-06-30
2100,1013,70,806.0,62.0,316.0,75.0,86.0,70.0,,,Schillerpark,2026-04-01,2026-06-30
2200,1194,70,823.0,82.0,376.0,89.0,54.0,119.0,229.0,106.0,Wittenau,2026-04-01,2026-06-30
2300,653,72,,,178.0,74.0,,,,,Hermsdorf,2026-04-01,2026-06-30
2320,174,78,,,,,,,,,Frohnau,2026-04-01,2026-06-30
2400,871,61,,,296.0,82.0,58.0,108.0,,,Tegel,2026-04-01,2026-06-30
2402,209,114,,,,,,,,,Konradshöhe,2026-04-01,2026-06-30
2500,1148,59,,,718.0,68.0,,,,,Wedding,2026-04-01,2026-06-30
2600,834,90,624.0,69.0,279.0,113.0,30.0,112.0,218.0,86.0,Pankow,2026-04-01,2026-06-30
2604,345,62,,,,,,,,,Pankow Mitte,2026-04-01,2026-06-30
2630,314,76,,,,,,,,,Blankenfelde,2026-04-01,2026-06-30
2640,355,98,,,,,,,,,Wilhelmsruh,2026-04-01,2026-06-30
2704,264,78,,,,,,,,,Buch,2026-04-01,2026-06-30
2720,289,82,,,,,,,,,Karow,2026-04-01,2026-06-30
3100,880,71,654.0,75.0,466.0,79.0,57.0,98.0,170.0,96.0,Spandau-Nord,2026-04-01,2026-06-30
3103,197,75,,,,,,,,,Lynar,2026-04-01,2026-06-30
3104,268,63,,,,,,,,,Falkenhagener Feld,2026-04-01,2026-06-30
3110,402,82,,,,,,,,,Staaken,2026-04-01,2026-06-30
3200,1089,67,308.0,67.0,426.0,75.0,75.0,97.0,,,Spandau-Süd,2026-04-01,2026-06-30
3220,224,83,,,,,,,,,Kladow,2026-04-01,2026-06-30
3300,1108,77,876.0,52.0,840.0,77.0,108.0,104.0,426.0,90.0,Suarez,2026-04-01,2026-06-30
3304,377,112,,,,,,,,,Westend,2026-04-01,2026-06-30
3400,919,61,670.0,78.0,456.0,60.0,,,,,Wilmersdorf,2026-04-01,2026-06-30
3404,368,109,,,,,,,,,Schmargendorf,2026-04-01,2026-06-30
3490,274,88,,,,,,,,,Friedenau,2026-04-01,2026-06-30
3500,976,79,,,441.0,96.0,136.0,124.0,322.0,117.0,Ranke,2026-04-01,2026-06-30
3503,147,91,,,,,,,,,Budapester,2026-04-01,2026-06-30
3504,336,58,,,,,,,,,Tiergarten-Süd,2026-04-01,2026-06-30
3600,68,63,83.0,74.0,61.0,82.0,7.0,99.0,10.0,91.0,Charlottenburg-Nord,2026-04-01,2026-06-30
3690,439,55,6.0,67.0,,,,,,,Siemensstadt,2026-04-01,2026-06-30
4100,998,93,519.0,104.0,299.0,97.0,41.0,113.0,117.0,99.0,Zehlendorf,2026-04-01,2026-06-30
4200,812,89,,,374.0,70.0,76.0,83.0,,,Steglitz,2026-04-01,2026-06-30
4300,914,63,241.0,64.0,414.0,88.0,93.0,109.0,474.0,107.0,Tempelhof,2026-04-01,2026-06-30
4390,549,66,11.0,105.0,,,,,,,Mariendorf,2026-04-01,2026-06-30
4400,1173,71,818.0,68.0,466.0,90.0,102.0,115.0,,,Schöneberg,2026-04-01,2026-06-30
4500,436,81,,,112.0,94.0,,,,,Wannsee,2026-04-01,2026-06-30
4600,797,57,,,332.0,70.0,35.0,116.0,,,Lichterfelde,2026-04-01,2026-06-30
4604,459,85,,,,,,,,,Lankwitz,2026-04-01,2026-06-30
4700,744,78,677.0,83.0,394.0,101.0,34.0,132.0,,,Marienfelde,2026-04-01,2026-06-30
4710,498,77,,,,,,,,,Lichtenrade,2026-04-01,2026-06-30
4790,301,77,,,,,,,,,Marienfelde-Süd,2026-04-01,2026-06-30
5100,1569,72,784.0,64.0,561.0,84.0,143.0,93.0,,,Neukölln,2026-04-01,2026-06-30
5200,1033,72,724.0,64.0,548.0,87.0,25.0,116.0,,,Buckow,2026-04-01,2026-06-30
5210,411,86,,,,,,,,,Rudow,2026-04-01,2026-06-30
5300,1082,75,637.0,81.0,492.0,78.0,96.0,93.0,229.0,79.0,Treptow,2026-04-01,2026-06-30
5304,340,80,,,,,,,,,Bohnsdorf,2026-04-01,2026-06-30
5330,292,93,,,,,,,,,Altglienicke,2026-04-01,2026-06-30
5390,215,68,,,,,,,,,Adlershof,2026-04-01,2026-06-30
5400,1180,82,590.0,95.0,344.0,92.0,46.0,106.0,,,Köpenick,2026-04-01,2026-06-30
5404,300,94,,,,,,,,,Salvador-Allende,2026-04-01,2026-06-30
5410,319,66,,,,,,,,,Friedrichshagen,2026-04-01,2026-06-30
5490,89,69,,,,,,,,,Rahnsdorf,2026-04-01,2026-06-30
6100,1642,99,649.0,86.0,602.0,80.0,146.0,87.0,238.0,120.0,Marzahn,2026-04-01,2026-06-30
6110,213,118,,,,,,,,,Marzahn,2026-04-01,2026-06-30
6120,130,117,,,,,,,,,Biesdorf,2026-04-01,2026-06-30
6200,1312,86,593.0,85.0,291.0,85.0,21.0,94.0,,,Hellersdorf,2026-04-01,2026-06-30
6204,325,95,,,,,,,,,Kaulsdorf,2026-04-01,2026-06-30
6300,1005,79,563.0,69.0,403.0,87.0,87.0,113.0,,,Weißensee,2026-04-01,2026-06-30
6310,287,92,,,,,,,,,Hohenschönhausen,2026-04-01,2026-06-30
6320,397,135,191.0,106.0,,,,,,,Falkenberg,2026-04-01,2026-06-30
6330,381,120,,,,,,,,,Wartenberg,2026-04-01,2026-06-30
