wache_nummer,anzahl_alarmierungen_RTW,mittlere_ausrueckedauer_RTW,anzahl_alarmierungen_NEF,mittlere_ausrueckedauer_NEF,anzahl_alarmierungen_LHF,mittlere_ausrueckedauer_LHF,anzahl_alarmierungen_DLK,mittlere_ausrueckedauer_DLK,anzahl_alarmierungen_ELW,mittlere_ausrueckedauer_ELW,wache_name,start_date,end_date
1100,2550.0,80.0,333.0,71.0,402.0,101.0,,,32.0,110.0,Feuer- und Lehrrettungswache Mitte,2020-04-01,2020-06-30
1110,155.0,99.0,,,,,,,,,Mitte,2020-04-01,2020-06-30
1700,1189.0,59.0,,,275.0,103.0,97.0,112.0,,,Tiergarten,2020-04-01,2020-06-30
1310,540.0,98.0,,,,,,,,,Schieritz/Prenzlauer Berg,2020-04-01,2020-06-30
1200,1795.0,59.0,1029.0,71.0,348.0,81.0,139.0,84.0,417.0,51.0,Friedrichshain,2020-04-01,2020-06-30
1300,1723.0,94.0,,,482.0,103.0,165.0,143.0,,,Prenzlauer Berg,2020-04-01,2020-06-30
1400,764.0,64.0,,,291.0,81.0,95.0,115.0,,,Moabit,2020-04-01,2020-06-30
2320,318.0,104.0,,,,,,,,,Frohnau,2020-04-01,2020-06-30
2100,1644.0,65.0,992.0,72.0,378.0,86.0,71.0,97.0,,,Schillerpark,2020-04-01,2020-06-30
1500,1765.0,71.0,943.0,81.0,443.0,84.0,,,118.0,83.0,Urban,2020-04-01,2020-06-30
2500,1776.0,60.0,,,404.0,74.0,,,,,Wedding,2020-04-01,2020-06-30
2300,624.0,85.0,,,140.0,81.0,,,,,Hermsdorf,2020-04-01,2020-06-30
1704,436.0,78.0,,,,,,,,,Scharnhorststraße,2020-04-01,2020-06-30
1204,504.0,82.0,,,,,,,,,Am Friedrichshain,2020-04-01,2020-06-30
2420,240.0,85.0,,,,,,,,,Tegelort,2020-04-01,2020-06-30
1600,2273.0,75.0,,,411.0,95.0,172.0,132.0,5.0,22.0,Kreuzberg,2020-04-01,2020-06-30
2630,416.0,88.0,,,,,,,,,Blankenfelde,2020-04-01,2020-06-30
2604,507.0,87.0,,,,,,,,,Pankow Mitte,2020-04-01,2020-06-30
3100,1708.0,72.0,748.0,75.0,472.0,88.0,82.0,126.0,168.0,104.0,Spandau-Nord,2020-04-01,2020-06-30
3104,403.0,74.0,,,,,,,,,Falkenhagener Feld,2020-04-01,2020-06-30
3110,626.0,92.0,,,,,,,,,Staaken,2020-04-01,2020-06-30
2600,1021.0,96.0,778.0,64.0,285.0,100.0,49.0,141.0,240.0,69.0,Pankow,2020-04-01,2020-06-30
2400,1058.0,68.0,818.0,83.0,231.0,92.0,39.0,128.0,,,Tegel,2020-04-01,2020-06-30
3304,679.0,126.0,,,,,,,,,Westend,2020-04-01,2020-06-30
3200,1694.0,72.0,608.0,83.0,394.0,89.0,65.0,130.0,,,Spandau-Süd,2020-04-01,2020-06-30
2720,583.0,80.0,,,,,,,,,Karow,2020-04-01,2020-06-30
2704,358.0,83.0,,,,,,,,,Buch,2020-04-01,2020-06-30
2200,2031.0,79.0,,,298.0,101.0,59.0,143.0,224.0,93.0,Wittenau,2020-04-01,2020-06-30
3500,1323.0,66.0,,,326.0,94.0,132.0,116.0,,,Ranke,2020-04-01,2020-06-30
3220,276.0,87.0,,,,,,,,,Kladow,2020-04-01,2020-06-30
3490,704.0,90.0,,,,,,,,,Friedenau,2020-04-01,2020-06-30
3600,1011.0,59.0,857.0,65.0,323.0,50.0,83.0,63.0,69.0,86.0,Charlottenburg-Nord,2020-04-01,2020-06-30
3404,676.0,115.0,,,,,,,,,Schmargendorf,2020-04-01,2020-06-30
4100,960.0,79.0,695.0,92.0,243.0,99.0,61.0,147.0,125.0,74.0,Zehlendorf,2020-04-01,2020-06-30
3390,421.0,95.0,,,,,,,,,Lietzow,2020-04-01,2020-06-30
3400,1542.0,67.0,,,414.0,87.0,,,,,Wilmersdorf,2020-04-01,2020-06-30
4500,623.0,65.0,,,112.0,100.0,,,,,Wannsee,2020-04-01,2020-06-30
4300,1356.0,59.0,877.0,90.0,370.0,93.0,100.0,148.0,449.0,79.0,Tempelhof,2020-04-01,2020-06-30
4400,1443.0,64.0,1000.0,76.0,317.0,75.0,94.0,124.0,,,Schöneberg,2020-04-01,2020-06-30
4700,898.0,91.0,769.0,89.0,324.0,115.0,43.0,159.0,,,Marienfelde,2020-04-01,2020-06-30
4600,1027.0,59.0,,,255.0,89.0,40.0,111.0,,,Lichterfelde,2020-04-01,2020-06-30
3690,557.0,44.0,,,,,,,,,Siemensstadt/Charlottenburg Nord,2020-04-01,2020-06-30
4604,492.0,91.0,,,,,,,,,Lankwitz,2020-04-01,2020-06-30
3300,1806.0,65.0,932.0,54.0,451.0,79.0,105.0,109.0,406.0,74.0,Suarez,2020-04-01,2020-06-30
5210,651.0,91.0,,,,,,,,,Rudow,2020-04-01,2020-06-30
4710,698.0,82.0,,,,,,,,,Lichtenrade,2020-04-01,2020-06-30
3504,587.0,63.0,,,,,,,,,Tiergarten-Süd,2020-04-01,2020-06-30
4790,570.0,79.0,,,,,,,,,Marienfelde-Süd,2020-04-01,2020-06-30
5200,1665.0,65.0,814.0,51.0,392.0,94.0,38.0,106.0,,,Buckow,2020-04-01,2020-06-30
5404,779.0,99.0,,,,,,,,,Salvador-Allende,2020-04-01,2020-06-30
4200,1479.0,77.0,,,322.0,77.0,58.0,92.0,,,Steglitz,2020-04-01,2020-06-30
5304,476.0,101.0,,,,,,,,,Bohnsdorf,2020-04-01,2020-06-30
5100,2307.0,77.0,836.0,67.0,459.0,91.0,137.0,115.0,,,Neukölln,2020-04-01,2020-06-30
5390,201.0,83.0,,,,,,,,,Adlershof,2020-04-01,2020-06-30
4390,1121.0,75.0,,,,,,,,,Mariendorf,2020-04-01,2020-06-30
6110,292.0,96.0,,,,,,,,,Marzahn,2020-04-01,2020-06-30
5300,1514.0,80.0,775.0,69.0,320.0,67.0,82.0,107.0,210.0,77.0,Treptow,2020-04-01,2020-06-30
6310,1017.0,103.0,,,,,,,,,Hohenschönhausen,2020-04-01,2020-06-30
5400,1090.0,95.0,768.0,89.0,327.0,73.0,69.0,126.0,,,Köpenick,2020-04-01,2020-06-30
6120,417.0,121.0,,,,,,,,,Biesdorf,2020-04-01,2020-06-30
6320,608.0,117.0,,,,,,,,,Falkenberg,2020-04-01,2020-06-30
6200,1615.0,73.0,818.0,84.0,249.0,112.0,43.0,148.0,,,Hellersdorf,2020-04-01,2020-06-30
5490,206.0,84.0,,,,,,,,,Rahnsdorf,2020-04-01,2020-06-30
6500,932.0,82.0,,,210.0,88.0,,,,,Karlshorst,2020-04-01,2020-06-30
6400,1601.0,78.0,953.0,94.0,356.0,99.0,63.0,129.0,,,Lichtenberg,2020-04-01,2020-06-30
6100,2567.0,108.0,501.0,87.0,571.0,93.0,163.0,138.0,291.0,110.0,Marzahn,2020-04-01,2020-06-30
5330,692.0,79.0,,,,,,,,,Altglienicke,2020-04-01,2020-06-30
6490,697.0,68.0,,,,,,,,,Rummelsburg,2020-04-01,2020-06-30
5410,498.0,75.0,,,,,,,,,Friedrichshagen,2020-04-01,2020-06-30
6330,650.0,119.0,,,,,,,,,Wartenberg,2020-04-01,2020-06-30
6204,604.0,120.0,,,,,,,,,Kaulsdorf,2020-04-01,2020-06-30
6300,1125.0,71.0,922.0,72.0,371.0,94.0,110.0,126.0,,,Weißensee,2020-04-01,2020-06-30
6407,,,26.0,61.0,,,,,,,Sana Klinikum Lichtenberg,2020-04-01,2020-06-30
