wache_nummer,anzahl_alarmierungen_RTW,mittlere_ausrueckedauer_RTW,anzahl_alarmierungen_NEF,mittlere_ausrueckedauer_NEF,anzahl_alarmierungen_LHF,mittlere_ausrueckedauer_LHF,anzahl_alarmierungen_DLK,mittlere_ausrueckedauer_DLK,anzahl_alarmierungen_ELW,mittlere_ausrueckedauer_ELW,wache_name,start_date,end_date
1100,2808,88,1019.0,89.0,482.0,99.0,,,41.0,127.0,Feuer- und Lehrrettungswache Mitte,2023-10-01,2023-12-31
1110,529,57,,,,,,,,,Mitte,2023-10-01,2023-12-31
1310,617,120,,,,,,,,,Schieritz/Prenzlauer Berg,2023-10-01,2023-12-31
1200,2121,72,945.0,73.0,498.0,89.0,176.0,90.0,520.0,62.0,Friedrichshain,2023-10-01,2023-12-31
1400,798,70,,,412.0,101.0,126.0,142.0,,,Moabit,2023-10-01,2023-12-31
2320,508,104,,,,,,,,,Frohnau,2023-10-01,2023-12-31
1300,1725,100,,,577.0,103.0,171.0,135.0,5.0,136.0,Prenzlauer Berg,2023-10-01,2023-12-31
2100,1730,67,1041.0,69.0,374.0,92.0,78.0,65.0,,,Schillerpark,2023-10-01,2023-12-31
1500,2448,76,913.0,81.0,626.0,97.0,,,120.0,91.0,Urban,2023-10-01,2023-12-31
2500,2233,77,,,909.0,83.0,,,,,Wedding,2023-10-01,2023-12-31
1204,668,87,,,,,,,,,Am Friedrichshain,2023-10-01,2023-12-31
1600,2677,87,460.0,73.0,488.0,113.0,153.0,145.0,,,Kreuzberg,2023-10-01,2023-12-31
2300,916,67,333.0,65.0,204.0,64.0,,,,,Hermsdorf,2023-10-01,2023-12-31
1700,1425,89,,,477.0,114.0,116.0,124.0,,,Tiergarten,2023-10-01,2023-12-31
2420,426,120,,,,,,,,,Tegelort,2023-10-01,2023-12-31
2630,633,91,,,,,,,,,Blankenfelde,2023-10-01,2023-12-31
2640,688,118,,,,,,,,,Wilhelmsruh,2023-10-01,2023-12-31
3100,1297,72,690.0,78.0,434.0,81.0,60.0,109.0,139.0,107.0,Spandau-Nord,2023-10-01,2023-12-31
2604,423,72,,,,,,,,,Pankow Mitte,2023-10-01,2023-12-31
3110,756,91,,,,,,,,,Staaken,2023-10-01,2023-12-31
3103,324,88,,,,,,,,,Lynar,2023-10-01,2023-12-31
3104,554,76,,,,,,,,,Falkenhagener Feld,2023-10-01,2023-12-31
2600,1453,93,744.0,68.0,325.0,115.0,62.0,150.0,208.0,87.0,Pankow,2023-10-01,2023-12-31
2400,974,66,836.0,74.0,352.0,98.0,50.0,113.0,,,Tegel,2023-10-01,2023-12-31
3304,684,123,,,,,,,,,Westend,2023-10-01,2023-12-31
2720,514,87,,,,,,,,,Karow,2023-10-01,2023-12-31
3200,1813,77,652.0,88.0,429.0,91.0,72.0,120.0,,,Spandau-Süd,2023-10-01,2023-12-31
2200,2043,67,,,495.0,107.0,25.0,153.0,245.0,100.0,Wittenau,2023-10-01,2023-12-31
3220,447,90,,,,,,,,,Kladow,2023-10-01,2023-12-31
2704,558,87,,,,,,,,,Buch,2023-10-01,2023-12-31
3503,120,116,,,,,,,,,Budapester,2023-10-01,2023-12-31
3404,596,98,,,,,,,,,Schmargendorf,2023-10-01,2023-12-31
3490,676,95,,,,,,,,,Friedenau,2023-10-01,2023-12-31
3500,1253,79,,,483.0,113.0,163.0,139.0,8.0,89.0,Ranke,2023-10-01,2023-12-31
