district_area_id,district_area_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
11001,Tiergarten Süd,4094,3217,2482,36,328,203,2151,180,1187,147,614.92,580.0,225.51,552.0,561.0,147.52,600.07,590.0,119.31,723.37,708.5,156.1,811.1,785.93,167.64,858.99,763.0,336.71
11002,Regierungsviertel,4925,4293,3302,21,440,192,2884,273,1449,225,622.63,600.0,191.68,519.88,474.0,139.67,604.67,603.5,112.81,748.16,739.0,158.57,804.96,774.62,154.81,943.85,864.0,375.82
11003,Alexanderplatz,13832,11714,8843,94,850,479,7785,353,4874,299,582.8,550.0,202.2,438.79,443.5,96.92,570.61,564.0,134.18,711.09,690.0,154.6,770.15,727.72,171.61,954.86,851.0,422.53
11004,Brunnenstraße Süd,2616,2342,1842,27,138,136,1632,61,1015,53,580.49,547.5,202.49,437.74,416.0,107.04,544.21,531.5,134.1,672.83,626.5,188.55,740.9,721.5,141.28,921.83,734.0,438.23
12005,Moabit West,5544,5060,3985,43,245,239,3501,55,1891,50,605.52,584.0,194.21,481.43,488.0,97.9,592.36,559.0,176.78,732.22,713.0,165.46,774.19,726.82,218.13,858.49,810.5,339.26
12006,Moabit Ost,8597,7883,5980,63,465,247,5252,246,3208,224,592.51,551.0,204.09,480.51,471.0,108.58,546.73,522.0,179.76,715.32,698.0,173.47,763.01,758.73,124.76,876.39,803.0,390.11
13007,Osloer Straße,5177,4553,3689,49,179,198,3239,45,1581,40,635.64,604.0,201.2,467.0,466.0,104.75,601.99,588.5,156.78,766.98,756.0,139.25,751.75,734.26,132.13,875.91,794.0,335.57
13008,Brunnenstraße Nord,6258,5692,4556,61,276,290,4067,73,2555,58,584.65,541.0,212.47,444.32,427.5,106.13,563.01,523.5,180.64,686.63,683.0,153.79,759.33,746.59,176.81,907.31,722.0,455.3
14009,Parkviertel,7980,6341,5181,69,268,244,4669,73,2715,60,599.71,562.0,201.91,486.58,474.0,127.54,609.99,584.5,186.34,783.94,778.0,152.5,802.2,797.69,175.5,867.31,798.0,366.4
14010,Wedding Zentrum,8105,7324,5937,88,256,303,5231,64,3347,52,577.36,538.0,200.55,444.61,420.5,139.15,581.28,544.5,184.64,751.5,723.0,192.04,769.03,717.93,221.07,870.2,734.0,406.81
21001,Südliche  Friedrichstadt,7296,6469,5089,54,440,386,4489,132,2910,109,570.38,538.0,184.52,438.95,430.0,103.87,569.8,547.5,143.19,713.15,711.0,125.99,793.66,770.79,137.33,819.14,685.0,366.16
22002,Tempelhofer Vorstadt,8164,6958,5551,78,361,330,4847,90,3078,80,580.36,544.0,194.75,451.07,422.0,163.21,545.13,532.0,148.25,721.62,689.0,147.08,767.24,743.7,123.66,819.37,695.0,364.81
23003,Nördliche Luisenstadt,3317,3073,2408,38,113,131,2089,25,1514,24,542.04,501.0,194.85,419.0,410.0,128.19,520.46,511.5,131.1,707.96,681.0,196.01,640.4,592.92,123.42,846.36,734.0,416.23
23004,Südliche Luisenstadt,3488,3195,2462,36,152,140,2106,27,1460,22,552.33,507.5,205.78,412.2,387.0,162.87,556.84,500.0,176.0,743.57,693.0,203.22,753.42,748.0,153.62,842.06,791.5,381.71
24005,Karl-Marx-Allee Nord,3699,2929,2389,34,130,128,2123,39,1311,31,584.27,556.0,195.39,463.69,478.5,91.59,574.65,547.0,120.73,719.95,717.5,155.35,805.9,729.75,232.55,932.03,839.0,393.07
24006,Karl-Marx-Allee Süd,5427,5005,3792,45,250,171,3335,108,2273,85,557.69,520.0,194.71,430.36,431.0,82.27,542.95,495.0,168.85,727.25,681.0,200.98,783.41,747.82,174.86,991.7,961.0,444.64
25007,Frankfurter Allee Nord,2848,2631,2084,19,107,110,1829,32,1055,27,603.47,575.0,184.93,516.79,530.5,123.41,588.61,579.0,145.24,712.13,669.5,163.49,778.23,742.51,195.41,924.96,837.0,334.21
25008,Frankfurter Allee Süd FK,6298,5781,4464,42,289,227,3907,73,2222,57,603.48,575.0,188.37,499.47,462.0,166.64,580.01,540.0,183.2,707.12,694.0,166.77,797.48,761.63,259.64,923.1,737.5,450.01
31001,Buch,2868,2410,1923,19,87,99,1488,20,717,9,670.36,611.0,238.01,537.27,526.0,86.97,734.25,751.0,167.18,822.72,799.5,155.35,956.27,925.85,170.05,931.67,927.0,290.59
32002,Blankenfelde/Niederschönhausen,2788,2598,2112,33,85,104,1816,19,542,15,721.8,682.0,222.71,543.93,529.0,171.59,648.82,589.0,246.38,831.21,795.0,209.57,822.52,788.62,205.07,823.92,784.0,326.57
32003,Buchholz,1733,1644,1374,27,37,49,1221,6,404,1,718.02,671.0,220.26,522.47,513.0,112.14,643.08,612.0,144.39,889.57,834.0,301.07,1121.2,977.32,378.73,867.56,727.0,462.13
33004,Karow,1640,1559,1272,17,37,44,1035,6,541,5,644.69,592.0,241.39,547.85,568.0,122.67,618.8,633.5,104.41,846.46,846.0,197.97,809.56,821.25,141.8,866.45,759.5,312.78
33005,Blankenburg/Heinersdorf/Märchenland,2248,2081,1685,27,64,103,1509,14,614,9,680.04,640.0,205.11,504.05,521.5,104.13,675.5,626.0,184.98,795.34,734.0,282.57,897.97,830.51,237.84,906.51,835.0,384.63
34006,Schönholz/Wilhelmsruh/Rosenthal,1967,1843,1497,33,58,66,1281,15,435,8,706.44,677.0,212.1,573.5,530.5,100.4,660.12,677.0,148.61,835.96,881.0,199.28,884.79,857.37,176.21,838.24,722.0,287.15
34007,Pankow Zentrum,4184,3552,2906,38,126,165,2591,30,1275,24,649.21,604.0,223.67,475.03,467.0,110.01,587.09,592.5,147.1,793.63,776.0,186.3,817.68,772.69,248.07,872.21,755.0,423.43
34008,Pankow Süd,3743,3432,2833,36,134,177,2529,20,1108,16,656.53,622.0,205.52,503.21,511.0,116.27,640.15,618.5,160.75,753.18,722.5,226.61,752.18,689.22,187.66,942.17,970.0,396.16
35009,Weißensee,4267,3656,2916,33,134,230,2637,21,1442,9,617.95,583.0,200.11,495.48,492.0,75.21,562.7,540.5,141.11,664.81,658.0,164.0,916.73,940.74,215.71,725.17,640.0,301.75
35010,Weißensee Ost,2475,2173,1764,27,81,83,1618,28,837,14,635.09,595.0,206.17,558.44,551.0,107.67,601.04,535.0,236.89,720.98,705.0,231.08,920.1,896.61,238.31,828.2,696.0,351.55
36011,Prenzlauer Berg Nordwest,2501,2230,1766,25,130,139,1578,19,734,17,639.33,614.0,194.25,467.05,461.0,111.32,627.26,603.0,169.8,738.02,741.0,156.13,766.97,766.21,127.01,936.65,891.0,404.33
36012,Prenzlauer Berg Nord,2674,2434,2011,23,114,125,1798,26,892,24,631.13,603.5,197.42,508.32,516.0,106.39,605.22,601.0,128.51,746.08,738.5,164.49,782.69,765.73,138.03,857.43,788.5,325.62
36013,Helmholtzplatz,1428,1272,969,8,64,92,864,8,458,8,623.89,591.0,211.06,528.6,478.0,121.81,563.39,545.5,128.04,660.15,620.0,154.32,742.52,736.67,74.04,921.22,854.0,373.44
36014,Prenzlauer Berg Ost,4242,3898,3083,44,181,163,2748,51,1389,40,628.18,598.0,195.02,523.7,525.0,124.05,649.55,623.5,176.5,756.76,726.0,189.86,795.65,751.68,162.69,970.22,940.0,353.94
37015,Prenzlauer Berg Südwest,2464,2260,1762,15,109,94,1536,30,863,29,602.27,573.0,206.49,487.55,486.0,84.61,556.14,538.0,138.24,669.67,672.0,182.86,727.72,729.07,105.16,931.29,781.0,438.99
37016,Prenzlauer Berg Süd,2463,2232,1810,25,98,132,1615,21,873,20,614.65,587.0,185.91,489.65,501.0,113.14,613.21,591.0,137.36,698.28,665.5,174.55,694.67,692.07,106.04,901.65,861.5,357.97
41001,Charlottenburg Nord,3141,2890,2370,33,109,140,2099,19,784,14,671.81,651.0,205.54,586.4,565.0,144.96,661.9,642.0,226.2,761.71,728.5,196.04,831.42,810.71,103.59,940.98,837.5,333.82
