planning_room_id,planning_room_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
10400938,Mahlsdorf Nord,228,219,120,1,2,6,105,0,23,0,803.7809523809524,754.0,218.68,762.0,762.0,,1270.0,1270.0,,,,,,,,742.6666666666666,735.0,183.62
10400939,Alt-Mahlsdorf,156,153,78,2,1,2,67,0,28,0,704.4029850746268,669.0,212.33,548.0,548.0,197.99,611.0,611.0,,,,,,,,,,
10400940,Elsensee,100,93,57,0,2,4,53,1,6,0,810.9433962264151,809.0,165.79,,,,576.5,576.5,24.75,817.0,817.0,,921.33,921.33,,539.0,539.0,
10400941,Pilgramer Straße,170,165,94,3,1,4,83,0,9,0,837.3975903614457,805.0,186.72,571.0,571.0,,608.0,608.0,,,,,,,,523.0,523.0,
11100101,Dörfer Malchow-Wartenberg,70,66,39,0,2,2,37,2,25,1,629.5405405405405,588.0,149.71,,,,764.5,764.5,251.02,994.0,994.0,390.32,992.0020000000001,992.0020000000001,393.24,766.5,766.5,160.51
11100102,Dorf Falkenberg,75,72,32,1,2,1,29,0,16,0,664.4827586206897,647.0,168.17,545.0,545.0,,705.5,705.5,485.78,,,,,,,,,
11100203,Falkenberg Ost,306,278,154,2,13,15,142,4,88,2,639.7112676056338,582.0,168.97,509.0,509.0,,709.5,792.5,288.96,795.75,794.5,57.76,904.545,894.19,111.48,1042.909090909091,921.0,339.56
11100204,Falkenberg West,237,216,132,4,12,9,123,2,62,2,673.8130081300814,649.0,186.85,570.25,556.0,51.38,784.3333333333334,789.5,77.67,716.0,716.0,91.92,800.3499999999999,800.3499999999999,110.64,1257.6666666666667,1328.0,532.73
11100205,Wartenberg Süd,210,198,114,1,9,3,99,3,59,2,672.2525252525253,618.0,245.96,446.0,446.0,,634.0,703.0,234.31,1187.6666666666667,1004.0,464.58,636.8443333333333,512.067,276.85,765.0,765.0,
11100206,Wartenberg Nord,294,283,176,6,6,5,159,1,85,1,643.2641509433962,636.0,181.79,599.3333333333334,608.0,95.55,1000.5,942.0,373.95,829.0,829.0,,824.757,824.757,,1104.0,1325.0,497.77
11100307,Zingster Straße Ost,430,415,238,5,5,10,216,1,82,0,718.2314814814815,681.0,164.71,669.2,558.0,309.17,797.0,797.0,,835.0,835.0,,998.677,998.677,,1009.4,1149.0,254.92
11100308,Zingster Straße West,350,332,201,1,6,11,179,2,87,2,687.7039106145252,651.0,205.9,,,,541.0,541.0,12.73,854.0,854.0,,819.53,819.53,49.29,918.3333333333334,862.0,248.51
11100309,Mühlengrund,245,235,120,1,9,1,112,1,59,1,688.7678571428571,643.0,190.26,598.0,598.0,,693.1666666666666,699.5,87.42,1089.0,1089.0,,796.27,796.27,,1256.0,1256.0,
11200410,Malchower Weg,284,269,143,2,8,7,126,1,68,0,657.1428571428571,631.0,175.7,,,,773.6,700.0,121.73,876.0,876.0,,1254.394,1254.394,,1208.3333333333333,1333.0,448.2
11200411,Hauptstraße,330,301,171,1,14,14,159,7,96,5,604.0503144654089,583.0,188.87,400.0,400.0,,793.3,674.0,338.79,775.2222222222222,756.0,109.57,955.429142857143,808.81,338.81,841.8,793.0,361.6
11200512,Orankesee,225,210,111,0,5,10,100,2,60,1,630.96,616.5,146.31,,,,637.3333333333334,602.0,130.63,708.6666666666666,725.0,114.38,877.475,877.475,127.57,971.4,1042.0,341.01
11200513,Große-Leege-Straße,213,204,108,0,3,6,100,0,68,0,601.42,594.0,167.23,,,,397.0,397.0,,,,,,,,865.25,759.0,319.67
11200514,Landsberger Allee,625,561,308,6,46,18,279,36,205,31,592.7992831541219,571.0,158.95,469.75,478.0,38.57,604.3076923076923,594.0,114.93,695.8611111111111,691.0,120.18,739.8836944444447,722.7629999999999,109.0,940.8461538461538,836.0,362.29
11200515,Weiße Taube,127,119,65,0,6,2,57,0,42,0,608.3157894736842,595.0,165.29,,,,604.25,604.5,70.66,,,,,,,1074.5,1074.5,265.17
11300616,Hohenschönhausener Straße,233,224,120,5,4,5,103,1,59,0,642.1747572815534,617.0,164.07,481.5,481.5,153.44,719.5,719.5,28.99,1151.0,1151.0,,1271.667,1271.667,,1150.25,1105.0,542.46
11300617,Fennpfuhlpark,211,198,98,0,8,5,87,3,51,2,633.2413793103449,616.0,186.15,,,,554.8571428571429,532.0,140.25,592.6666666666666,643.0,150.93,742.083,737.146,155.66,755.0,755.0,36.77
11300618,Storkower Bogen,165,153,83,1,5,5,80,2,63,1,570.1125,569.5,151.73,345.0,345.0,,603.3333333333334,611.0,50.93,1192.5,1192.5,704.99,1192.5615,1192.5615,705.36,615.3333333333334,561.0,198.17
11300619,Rudolf-Seiffert-Park,234,226,103,3,5,3,98,0,79,0,558.765306122449,540.0,159.85,424.0,428.0,153.04,544.6666666666666,528.0,30.62,,,,,,,581.3333333333334,572.0,62.52
11300620,Fennpfuhl Ost,449,422,253,1,13,13,235,7,201,6,532.0510638297873,501.0,181.81,454.0,454.0,,634.1428571428571,543.0,212.52,628.2,557.0,218.05,697.6562857142856,674.143,120.44,998.0833333333334,1148.5,458.26
11300721,Herzbergstraße,474,322,182,4,54,20,163,31,102,23,620.1104294478528,599.0,193.17,427.0,427.0,,652.0,653.0,130.47,673.4594594594595,667.0,142.16,794.7639354838709,782.654,122.61,931.4705882352941,943.0,441.64
