district_area_id,district_area_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
011001,Tiergarten Süd,2965,2255,1118,21,222,139,955,140,701,122,572.4,555.0,171.21,475.69,482.0,73.59,621.28,601.0,156.88,693.93,685.0,147.83,751.98,712.48,146.44,922.31,932.5,324.27
011002,Regierungsviertel,3313,2814,1369,17,298,180,1199,176,940,156,569.23,551.0,165.24,456.0,440.5,85.4,573.28,559.5,106.8,707.23,703.0,120.56,755.64,734.24,118.14,936.41,891.5,392.97
011003,Alexanderplatz,9435,7909,3835,49,654,330,3360,336,2719,311,535.33,508.0,171.91,430.26,437.0,77.81,521.41,509.0,135.03,654.05,637.5,135.27,692.38,665.98,133.1,843.82,716.0,407.65
011004,Brunnenstraße Süd,1900,1711,823,9,97,91,738,38,605,37,544.93,523.5,180.08,362.5,366.0,71.34,528.36,512.0,120.34,615.98,600.0,110.12,685.58,673.72,125.33,893.8,633.5,487.47
012005,Moabit West,4061,3678,1970,26,180,203,1689,53,1247,49,574.7,550.0,178.88,452.07,469.5,64.18,571.38,516.0,168.56,710.27,679.0,219.92,711.83,699.17,119.51,842.2,859.0,325.53
012006,Moabit Ost,5906,5358,2687,31,344,203,2347,198,1739,181,566.38,541.0,185.47,439.32,410.5,128.75,511.3,480.5,155.34,661.96,653.0,170.26,724.81,709.93,136.28,831.56,720.0,383.16
013007,Osloer Straße,3336,2965,1638,20,112,137,1450,34,992,31,606.76,576.0,194.75,460.81,486.0,71.67,551.52,543.0,111.86,774.75,671.5,298.0,714.71,687.91,157.93,948.84,778.0,447.05
013008,Brunnenstraße Nord,4221,3840,2082,19,185,195,1868,39,1476,34,538.49,507.5,179.6,375.27,375.0,103.05,517.63,486.0,176.76,700.7,677.0,215.42,710.56,689.22,158.39,839.76,626.0,469.25
014009,Parkviertel,5388,4310,2376,33,183,194,2123,36,1599,32,563.38,529.0,191.38,418.0,412.0,108.0,540.2,516.5,122.19,711.6,697.0,231.88,704.52,695.0,136.5,867.08,840.5,386.72
014010,Wedding Zentrum,5309,4756,2548,52,194,243,2226,52,1727,48,559.18,519.0,196.03,407.21,405.5,84.66,526.21,505.0,149.41,723.09,674.0,249.6,710.66,690.78,172.99,879.12,743.0,401.46
021001,Südliche  Friedrichstadt,5265,4759,2407,35,288,215,2118,109,1771,105,527.72,504.0,157.8,381.96,390.0,50.74,534.1,515.5,129.61,672.63,637.0,157.11,691.23,683.08,120.85,778.78,678.0,319.19
022002,Tempelhofer Vorstadt,5892,5126,2683,39,227,284,2332,68,1826,62,554.56,534.0,178.5,442.93,457.0,94.51,545.61,532.0,135.8,694.59,662.5,165.54,722.81,700.5,109.75,792.57,673.0,370.18
023003,Nördliche Luisenstadt,2754,2537,1367,13,107,106,1184,38,1032,30,502.55,475.0,167.22,353.27,382.0,64.51,508.55,461.0,151.98,646.84,593.0,227.44,676.61,589.3,194.66,927.92,809.0,457.06
023004,Südliche Luisenstadt,2519,2325,1210,18,91,100,1015,19,833,16,520.92,488.0,186.05,420.4,407.5,66.22,502.23,466.5,158.78,674.76,605.0,242.61,698.15,639.39,159.51,833.31,764.0,379.58
024005,Karl-Marx-Allee Nord,2563,2081,1082,19,112,72,967,38,786,35,534.4,502.0,170.41,407.88,456.0,108.36,513.29,500.0,110.3,673.26,683.0,163.38,685.83,696.5,121.13,997.16,1044.0,443.01
024006,Karl-Marx-Allee Süd,4053,3642,1772,19,272,135,1552,132,1349,118,503.31,482.0,165.06,410.43,404.0,91.38,504.68,474.0,148.0,609.25,582.0,168.82,698.97,652.27,177.99,805.99,641.0,414.82
025007,Frankfurter Allee Nord,2066,1873,971,23,100,90,843,16,676,14,559.2,547.0,158.57,431.0,441.0,79.95,603.81,547.0,161.31,691.84,624.0,257.94,726.82,660.62,210.95,1082.52,1165.0,477.99
025008,Frankfurter Allee Süd FK,4912,4431,2240,30,254,223,1953,86,1526,75,559.32,539.0,167.31,434.13,413.0,101.6,536.67,508.0,124.56,648.52,622.0,168.88,705.82,693.6,140.61,985.1,868.5,462.12
031001,Buch,1937,1568,808,16,117,74,632,31,406,10,643.42,592.5,204.1,569.92,539.0,154.72,762.38,754.0,138.78,859.71,868.5,153.08,978.86,968.0,201.07,922.73,912.0,386.8
032002,Blankenfelde/Niederschönhausen,2055,1917,1073,17,56,77,908,6,480,4,666.31,643.5,187.13,498.27,542.0,114.44,568.15,545.0,115.59,920.25,813.5,335.54,833.57,789.86,222.95,923.69,746.0,437.53
032003,Buchholz,1237,1174,666,14,25,38,580,3,315,2,676.65,635.0,196.45,469.9,483.0,98.45,598.86,587.5,88.29,713.75,651.5,168.33,741.8,638.52,190.99,1145.64,1227.0,459.37
033004,Karow,1151,1089,597,14,21,38,490,3,313,3,629.63,577.5,228.16,534.5,519.0,120.79,668.92,698.0,127.16,798.5,798.5,12.02,805.02,800.46,28.22,986.6,753.0,425.43
033005,Blankenburg/Heinersdorf/Märchenland,1577,1464,824,16,60,53,746,14,453,13,648.68,618.0,177.51,529.73,494.0,106.28,703.26,632.0,242.53,791.0,746.0,179.13,758.84,732.0,90.95,825.06,728.5,364.71
034006,Schönholz/Wilhelmsruh/Rosenthal,1410,1326,723,20,45,37,624,10,352,7,650.32,617.0,199.66,518.25,475.0,167.71,637.13,579.5,192.92,804.62,791.5,125.19,827.33,798.0,106.27,881.9,843.5,337.99
