datum,Einsätze_potentiell_abgabefähig_an_KV,Fälle_an_KV_abgegeben,von_KV_an_Berliner_Feuerwehr_abgegeben,Aufwertungen_mit_Aufwertegründen
2024-07-26,195,94,54,75
2024-07-27,245,114,50,48
2024-07-28,214,118,72,73
2024-07-29,215,108,40,81
2024-07-30,173,90,41,62
2024-07-31,195,84,43,89
2024-08-01,223,112,48,84
2024-08-02,173,94,46,61
2024-08-03,213,105,40,80
2024-08-04,181,91,50,64
2024-08-05,195,90,65,78
2024-08-06,202,102,41,79
2024-08-07,199,100,41,82
2024-08-08,172,79,52,82
2024-08-09,194,89,46,83
2024-08-10,179,84,41,69
2024-08-11,192,92,42,60
2024-08-12,199,96,42,80
2024-08-13,176,75,44,81
2024-08-14,199,100,47,74
2024-08-15,197,103,37,74
2024-08-16,156,62,45,70
2024-08-17,211,96,45,54
2024-08-18,216,105,39,84
2024-08-19,192,98,41,77
2024-08-20,195,91,51,64
2024-08-21,175,87,33,68
2024-08-22,194,103,40,60
2024-08-23,179,94,39,69
2024-08-24,168,72,46,70
2024-08-25,190,99,61,73
2024-08-26,207,105,67,92
2024-08-27,214,103,41,92
2024-08-28,178,88,42,68
2024-08-29,184,81,46,87
2024-08-30,201,90,35,80
2024-08-31,167,76,48,54
2024-09-01,185,90,32,71
2024-09-02,221,111,39,90
2024-09-03,238,122,51,79
2024-09-04,206,100,29,67
2024-09-05,204,106,35,64
2024-09-06,215,97,54,86
2024-09-07,216,108,49,59
2024-09-08,225,117,65,71
2024-09-09,184,96,52,50
2024-09-10,208,116,54,54
2024-09-11,171,91,35,67
2024-09-12,171,75,37,64
2024-09-13,185,100,33,70
2024-09-14,178,90,51,69
2024-09-15,205,102,56,92
2024-09-16,194,102,38,70
2024-09-17,208,100,53,94
2024-09-18,185,86,46,54
2024-09-19,217,92,60,71
2024-09-20,190,94,34,61
2024-09-21,188,93,50,64
2024-09-22,188,98,64,73
2024-09-23,200,94,51,43
2024-09-24,187,80,60,70
2024-09-25,211,109,41,74
2024-09-26,202,109,50,45
2024-09-27,204,112,52,70
2024-09-28,221,111,45,88
2024-09-29,223,122,53,45
2024-09-30,197,101,48,50
2024-10-01,205,102,38,79
2024-10-02,199,101,38,85
2024-10-03,174,99,50,64
2024-10-04,221,112,48,95
2024-10-05,227,109,32,89
2024-10-06,223,124,39,65
2024-10-07,218,117,56,77
2024-10-08,206,109,44,70
2024-10-09,196,100,45,41
2024-10-10,190,91,41,77
2024-10-11,194,99,38,67
2024-10-12,195,102,41,63
2024-10-13,233,138,40,73
2024-10-14,187,114,44,38
2024-10-15,169,95,30,64
2024-10-16,202,116,59,53
2024-10-17,201,83,44,61
2024-10-18,207,115,49,42
2024-10-19,222,119,46,70
2024-10-20,238,138,43,79
2024-10-21,229,126,46,66
2024-10-22,186,94,41,56
2024-10-23,210,108,46,74
2024-10-24,187,95,33,75
2024-10-25,191,89,63,81
2024-10-26,199,93,53,76
2024-10-27,186,92,49,70
