,mission_date,mission_type,dispatchcode_category,dispatchcode_criticality,mission_location_district,response_time,units_non_berlin_involed,units_several_involved,units_reinforcements_called,units_organisations,firstresponder_alarmed,firstresponder_indication,firstresponder_first_arrival,units_first_type,emergency_doctor_involved
51,2026-01-01,Brand,,,Steglitz-Zehlendorf,455.0,False,True,False,ORG_BFW,False,False,False,LHF,False
52,2026-01-01,Rettungsdienst,,,Neukölln,125.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
53,2026-01-01,Notverlegung,,,Mitte,1369.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
54,2026-01-01,Brand,,,Mitte,,False,True,False,ORG_BFW,False,False,False,LHF,False
55,2026-01-01,Notverlegung,,,Lichtenberg,1304.0,False,True,False,ORG_BFW,False,False,False,RTW-C,True
56,2026-01-01,Technische Hilfeleistung,,,Reinickendorf,779.0,False,True,False,ORG_BFW,False,False,False,LHF,False
57,2026-01-01,Notverlegung,,,Pankow,1851.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
58,2026-01-01,Technische Hilfeleistung,,,Steglitz-Zehlendorf,548.0,False,True,False,ORG_BFW,False,False,False,LHF,False
59,2026-01-01,Rettungsdienst,,,Neukölln,1329.0,False,False,False,ORG_JUH,False,False,False,RTW-C,False
60,2026-01-01,Notverlegung,,,Tempelhof-Schöneberg,722.0,False,False,False,ORG_JUH,False,False,False,RTW-C,False
61,2026-01-01,Brand,,,Mitte,492.0,False,False,False,ORG_BFW,False,False,False,LF,False
62,2026-01-01,Brand,,,Mitte,548.0,False,True,False,ORG_BFW,False,False,False,LHF,False
63,2026-01-01,Notverlegung,,,Steglitz-Zehlendorf,952.0,False,False,False,ORG_JUH,False,False,False,RTW-C,False
64,2026-01-01,Notverlegung,,,Spandau,,False,True,True,ORG_BFW,False,False,False,NEF,True
65,2026-01-01,Notverlegung,,,Reinickendorf,,False,True,True,ORG_BFW,False,False,False,ITW,True
66,2026-01-01,Rettungsdienst,,,Spandau,,False,False,True,ORG_BFW,False,False,False,RTW-C,False
67,2026-01-01,Brand,,,Lichtenberg,571.0,False,True,False,ORG_BFW,False,False,False,LHF,False
68,2026-01-01,Brand,,,Pankow,,False,False,True,ORG_BFW,False,False,False,LHF,False
69,2026-01-01,Rettungsdienst,,,Pankow,230.0,False,True,False,ORG_BFW,False,False,False,,False
70,2026-01-01,Brand,,,Tempelhof-Schöneberg,139.0,False,False,False,ORG_BFW,False,False,False,TLF,False
71,2026-01-01,Brand,,,Lichtenberg,,False,False,True,ORG_BFW,False,False,False,LHF,False
72,2026-01-01,Rettungsdienst,,,Spandau,,False,True,False,ORG_BFW,False,False,False,RTW-C,True
73,2026-01-01,Rettungsdienst,,,Lichtenberg,422.0,False,False,False,ORG_ASB,False,False,False,RTW-B,False
74,2026-01-01,Brand,,,Spandau,608.0,False,True,False,ORG_BFW,False,False,False,LHF,False
75,2026-01-01,Brand,,,Tempelhof-Schöneberg,552.0,False,False,False,ORG_BFW,False,False,False,LHF-FF,False
76,2026-01-01,Brand,,,Friedrichshain-Kreuzberg,394.0,False,True,False,ORG_BFW,False,False,False,DLK,False
77,2026-01-01,Brand,,,Spandau,555.0,False,False,False,ORG_BFW,False,False,False,LF,False
78,2026-01-01,Brand,,,Mitte,172.0,False,False,False,ORG_BFW,False,False,False,TLF,False
79,2026-01-01,Brand,,,Mitte,,False,True,False,ORG_BFW,False,False,False,LHF,False
80,2026-01-01,Brand,,,Lichtenberg,458.0,False,True,False,ORG_BFW,False,False,False,LHF,False
81,2026-01-01,Brand,,,Friedrichshain-Kreuzberg,,False,True,True,ORG_BFW,False,False,False,LHF,False
82,2026-01-01,Brand,,,Mitte,771.0,False,False,False,ORG_BFW,False,False,False,TLF-4000,False
83,2026-01-01,Brand,,,Spandau,,False,False,True,ORG_BFW,False,False,False,TLF,False
84,2026-01-01,Rettungsdienst,,,Mitte,549.0,False,False,False,ORG_MHD,False,False,False,RTW-C,False
85,2026-01-01,Brand,,,Mitte,160.0,False,False,False,ORG_BFW,False,False,False,DLK,False
86,2026-01-01,Brand,,,Tempelhof-Schöneberg,165.0,False,False,False,ORG_BFW,False,False,False,LHF-FF,False
87,2026-01-01,Brand,,,Mitte,226.0,False,False,False,ORG_BFW,False,False,False,LHF,False
88,2026-01-01,Rettungsdienst,,,Marzahn-Hellersdorf,133.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
89,2026-01-01,Brand,,,Reinickendorf,537.0,False,True,False,ORG_BFW,False,False,False,LHF,False
90,2026-01-01,Technische Hilfeleistung,,,Friedrichshain-Kreuzberg,357.0,False,False,False,ORG_BFW,False,False,False,LHF,False
91,2026-01-01,Brand,,,Pankow,167.0,False,False,False,ORG_BFW,False,False,False,,False
92,2026-01-01,Brand,,,Spandau,,False,True,False,ORG_BFW,False,False,False,LHF,False
93,2026-01-01,Technische Hilfeleistung,,,Mitte,619.0,False,False,False,ORG_BFW,False,False,False,ELW1-C,False
94,2026-01-01,Brand,,,Lichtenberg,,False,True,False,ORG_BFW,False,False,False,LHF,False
95,2026-01-01,Brand,,,Tempelhof-Schöneberg,,False,True,True,ORG_BFW,False,False,False,DLK,False
96,2026-01-01,Brand,,,Friedrichshain-Kreuzberg,517.0,False,True,False,ORG_BFW,False,False,False,LHF,False
97,2026-01-01,Rettungsdienst,,,Mitte,208.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
98,2026-01-01,Brand,,,Marzahn-Hellersdorf,503.0,False,True,False,ORG_BFW,False,False,False,LF,False
99,2026-01-01,Brand,,,Mitte,282.0,False,True,True,ORG_BFW,False,False,False,TLF,False
100,2026-01-01,Rettungsdienst,,,Marzahn-Hellersdorf,414.0,False,False,False,ORG_ASB,False,False,False,RTW-C,False
101,2026-01-01,Technische Hilfeleistung,,,Lichtenberg,602.0,False,False,False,ORG_BFW,False,False,False,LHF-FF,False
102,2026-01-01,Brand,,,Friedrichshain-Kreuzberg,357.0,False,False,False,ORG_BFW,False,False,False,TLF,False
103,2026-01-01,Rettungsdienst,,,Mitte,141.0,False,False,False,ORG_ASB,False,False,False,RTW-B,False
104,2026-01-01,Brand,,,Friedrichshain-Kreuzberg,137.0,False,False,False,ORG_BFW,False,False,False,TLF,False
105,2026-01-01,Notverlegung,,,Charlottenburg-Wilmersdorf,,False,True,True,ORG_BFW,False,False,False,NEF,True
106,2026-01-01,Rettungsdienst,,,Mitte,,False,False,True,ORG_MHD,False,False,False,RTW-C,False
107,2026-01-01,Notverlegung,,,Charlottenburg-Wilmersdorf,458.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
108,2026-01-01,Rettungsdienst,01,D,Charlottenburg-Wilmersdorf,285.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
109,2026-01-01,Rettungsdienst,01,D,Spandau,463.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
110,2026-01-01,Rettungsdienst,01,D,Spandau,456.0,False,False,False,ORG_DRK,False,False,False,RTW-C,False
111,2026-01-01,Rettungsdienst,01,D,Charlottenburg-Wilmersdorf,388.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
112,2026-01-01,Rettungsdienst,01,D,Mitte,460.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
113,2026-01-01,Rettungsdienst,01,D,Friedrichshain-Kreuzberg,693.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
114,2026-01-01,Rettungsdienst,01,D,Mitte,483.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
115,2026-01-01,Rettungsdienst,01,D,Spandau,629.0,False,False,False,ORG_DRK,False,False,False,RTW-C,False
116,2026-01-01,Rettungsdienst,01,D,Lichtenberg,645.0,False,False,False,ORG_BW,False,False,False,RTW-BW,False
117,2026-01-01,Rettungsdienst,01,D,Neukölln,723.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
118,2026-01-01,Rettungsdienst,01,D,Lichtenberg,787.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
119,2026-01-01,Rettungsdienst,01,D,Steglitz-Zehlendorf,762.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
120,2026-01-01,Rettungsdienst,01,D,Reinickendorf,828.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
121,2026-01-01,Rettungsdienst,01,D,Pankow,984.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
122,2026-01-01,Rettungsdienst,01,D,Friedrichshain-Kreuzberg,629.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
123,2026-01-01,Rettungsdienst,01,D,Reinickendorf,652.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
124,2026-01-01,Rettungsdienst,01,D,Spandau,787.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
125,2026-01-01,Rettungsdienst,01,D,Pankow,475.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
126,2026-01-01,Rettungsdienst,01,D,Charlottenburg-Wilmersdorf,621.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
127,2026-01-01,Rettungsdienst,01,D,Neukölln,525.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
128,2026-01-01,Rettungsdienst,01,D,Lichtenberg,580.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
129,2026-01-01,Rettungsdienst,01,D,Neukölln,821.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
